address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
461 Sandy Valley Rd,WESTWOOD,MA,02090,2125000,4519.0,4.0,6.0,281,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/461-Sandy-Valley-Rd-Westwood-MA-02090/57516436_zpid/
215 High St,WESTWOOD,MA,02090,2600000,2865.0,5.0,3.0,114,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-High-St-Westwood-MA-02090/57515777_zpid/
935 High St # 935,Westwood,MA,02090,695000,2076.0,4.0,2.0,62,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/935-High-St-935-Westwood-MA-02090/2088960681_zpid/
30 Juniper Ridge Rd,Westwood,MA,02090,1369000,4200.0,4.0,4.5,161,New Construction,http://www.zillow.com/homes/for_sale//homedetails/30-Juniper-Ridge-Rd-Westwood-MA-02090/2090624155_zpid/
312 High St,WESTWOOD,MA,02090,1400000,3400.0,4.0,3.0,350,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/312-High-St-Westwood-MA-02090/57515881_zpid/
3 Stonemeadow Dr,WESTWOOD,MA,02090,2150000,NA,NA,NA,513,New Construction,http://www.zillow.com/homes/for_sale//homedetails/3-Stonemeadow-Dr-Westwood-MA-02090/57520067_zpid/
300 Summer St LOT 1,Westwood,MA,02090,899000,NA,NA,NA,135,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/300-Summer-St-LOT-1-Westwood-MA-02090/2090187451_zpid/
9 Morgan Farm Rd,Westwood,MA,02090,1195000,NA,NA,NA,41,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Morgan-Farm-Rd-Westwood-MA-02090/2088668717_zpid/
300 Summer St LOT 2,Westwood,MA,02090,925000,NA,NA,NA,135,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/300-Summer-St-LOT-2-Westwood-MA-02090/2090185923_zpid/
Cherry St,WESTWOOD,MA,02090,NA,1614.0,2.0,1.5,156,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/246621042_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Carroll Ave,WESTWOOD,MA,02090,NA,1436.0,3.0,2.5,23,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/249458787_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
